PetID,nlp_proba_1,nlp_proba_2,nlp_proba_3,nlp_proba_4,nlp_pred
d3b4f29f8,0.04629505,0.25554127,0.5727597,0.12540397,3
e9dc82251,0.031042749,0.13729219,0.75705165,0.07461343,3
8111f6d4a,0.2678356,0.44797525,0.15999152,0.12419761,2
693a90fda,0.004818624,0.9903779,0.004432872,0.00037063644,2
9d08c85ef,0.40993917,0.29464716,0.1397244,0.15568937,1
45af03266,0.35550356,0.169568,0.06856215,0.40636626,4
01a07b591,0.12157901,0.16284125,0.0968107,0.61876905,4
10e723583,0.2231502,0.67542976,0.09312645,0.008293575,2
324266c95,0.37889904,0.20389976,0.2928374,0.12436377,1
b6fbfa344,0.21633975,0.16693512,0.19189037,0.42483476,4
8df0bb3b3,0.14718594,0.21160856,0.6375895,0.003616066,3
a05e81f9f,0.01770402,0.01029001,0.019513989,0.95249206,4
311479c63,0.03289735,0.13394174,0.019138576,0.81402236,4
11aa441fe,0.025571087,0.20532641,0.74117297,0.027929556,3
25fc96414,0.047832094,0.23883417,0.6440798,0.0692539,3
a6783a1c6,0.24868888,0.2640195,0.18308394,0.30420762,4
05aaee8ce,0.19185127,0.137544,0.07626329,0.5943414,4
1d3dd0cb8,0.009599237,0.016298188,0.0058941883,0.96820843,4
f20fa5c38,0.01025258,0.24497299,0.6889174,0.055856973,3
b8bc0c25c,0.33075276,0.33793935,0.12477745,0.20653035,2
8f45b9967,0.43898302,0.32166725,0.03740375,0.20194598,1
b7f7e01c6,0.04723992,0.19090192,0.036447823,0.72541034,4
f41a7de83,0.0029327222,0.0021808164,0.0030274708,0.991859,4
e7e2eca9e,0.34864768,0.0078117666,0.009007801,0.63453275,4
f2f8667a2,0.2985863,0.28419626,0.12953763,0.2876798,1
54b687d7c,0.06563122,0.8871811,0.036471978,0.010715683,2
6438c6b3f,0.33284426,0.24516223,0.07994833,0.3420452,4
831505752,0.06441156,0.83860546,0.08263047,0.014352506,2
106128c56,0.06427438,0.048957504,0.2618946,0.62487346,4
c8f5f9120,0.5247991,0.22728363,0.20556998,0.04234736,1
671ffc570,0.014134822,0.03644987,0.9337359,0.015679395,3
279ca5034,0.0844591,0.10839042,0.07387954,0.7332709,4
f653550ac,0.003713524,0.003395928,0.0050379406,0.9878527,4
9dae4e297,0.054971315,0.51146483,0.43171367,0.0018501631,2
5925cf3fa,0.30575964,0.32239753,0.31344098,0.058401845,2
066498aa1,0.4709119,0.44878557,0.048076108,0.03222636,1
568a5ab51,0.48467445,0.29794553,0.09330859,0.12407132,1
a65853183,0.07085633,0.08990984,0.08970218,0.7495316,4
3da55a076,0.37462252,0.17594595,0.10124066,0.3481909,1
48f20f515,0.0053962013,0.04229252,0.94729865,0.005012576,3
fe3d33ae1,0.058380697,0.67190623,0.0881743,0.18153878,2
850a43f90,0.028419632,0.5039124,0.450168,0.017499985,2
113204c87,0.010041128,0.015530349,0.014430178,0.95999837,4
a8f43bea5,0.30468115,0.12013071,0.2906849,0.28450316,1
13296aae7,0.120610066,0.024213362,0.031762943,0.82341367,4
c59fe4bcd,0.17159973,0.24331078,0.56010854,0.024980903,3
abf1716a9,0.012861673,0.62047297,0.357937,0.008728409,2
9718baba0,0.03458499,0.4005651,0.52623683,0.03861305,3
39ba962ef,0.26716343,0.3796926,0.26257497,0.09056897,2
34edfc9d5,0.07630271,0.4078512,0.3594175,0.15642866,2
6220663ba,0.08858461,0.09887964,0.24954487,0.5629909,4
4501c8125,0.5826589,0.33057338,0.045929868,0.04083776,1
b138f5cc9,0.01765267,0.028408727,0.1330613,0.82087725,4
dbfb1869f,0.14012055,0.28280377,0.06973588,0.50733984,4
dbcf45977,0.0074339975,0.0031996819,0.0046856264,0.9846808,4
3b1391dda,0.06655353,0.031564686,0.07028805,0.83159375,4
006610fe3,0.091858335,0.19332844,0.2348969,0.47991636,4
1020c8f00,0.367236,0.37602985,0.20158178,0.055152368,2
dc1d76def,0.40926316,0.22722009,0.27050272,0.09301397,1
6134ae21d,0.003292651,0.0018602601,0.0033934554,0.9914535,4
0f1424059,0.16095105,0.1496875,0.07470404,0.61465746,4
befafd8d3,0.039081562,0.16391973,0.78829265,0.00870607,3
482d05dc8,0.009985535,0.10887933,0.8600734,0.021061715,3
7b0d325d8,0.0049182614,0.00598948,0.00934066,0.9797515,4
373f757c7,0.34320378,0.32393068,0.1921594,0.14070614,1
e1c40a1eb,0.13433333,0.1634174,0.07732545,0.6249239,4
9f2dd031a,0.10853171,0.19743562,0.37976426,0.31426835,3
1c1bb3cd4,0.066254064,0.1183215,0.1676743,0.64775014,4
9a719040f,0.011458451,0.00812068,0.023917474,0.95650333,4
3af1dedf7,0.015609687,0.7117776,0.21878102,0.053831726,2
b7006ed96,0.0007773724,0.05192064,0.941406,0.0058960295,3
9ebf6e448,0.7947082,0.12504435,0.0704684,0.009779097,1
21d8f0d2f,0.022828646,0.044718776,0.09968161,0.832771,4
9e172ab13,0.32553178,0.47235835,0.11344993,0.08865992,2
261fc97ec,0.81776375,0.07870134,0.08519198,0.018342989,1
ef2ee6e9b,0.23758267,0.23506369,0.10658106,0.42077258,4
a9bfec3ba,0.124070175,0.54025084,0.15374747,0.18193151,2
3e463e29e,0.41326967,0.507874,0.058516692,0.020339629,2
f5e35ea02,0.15842137,0.12730841,0.10028473,0.6139855,4
f4ab04385,0.3480333,0.45722649,0.08681337,0.107926875,2
49aaa4f94,0.53545713,0.43134722,0.0046884804,0.02850716,1
898476994,0.0053659496,0.006336091,0.0070135775,0.9812843,4
b19556858,0.00739985,0.30164587,0.6600961,0.03085827,3
6d994c50c,0.051589046,0.7326672,0.12047368,0.0952701,2
6a3ff7445,0.12896314,0.37294662,0.30460536,0.19348481,2
5e6de643b,0.06562464,0.53298676,0.2623183,0.13907026,2
cf020a716,0.024658926,0.036973767,0.07206703,0.86630034,4
5c92de3f6,0.035433196,0.064336345,0.18612386,0.7141066,4
5297d9ba8,0.016597908,0.9507941,0.030705877,0.0019020794,2
89a41673f,0.46627522,0.32920137,0.052890137,0.15163326,1
d965d6f3a,0.28245664,0.28613234,0.19761354,0.23379752,2
0db65104a,0.14719862,0.7862839,0.0661766,0.00034088292,2
25c48e7ff,0.055025168,0.1754185,0.70458096,0.06497537,3
685cbaf7f,0.29354367,0.63472456,0.064217605,0.007514139,2
c93191313,0.5742293,0.30493048,0.11077052,0.010069723,1
1c411730a,0.31646737,0.36845437,0.0888711,0.22620714,2
ca7075738,0.023767494,0.19229104,0.25699925,0.5269422,4
b2676e6b1,0.08567469,0.6813106,0.20732781,0.025686877,2
301a245e6,0.3828557,0.45794696,0.14512551,0.014071786,2
94afcd90c,0.20686132,0.67851895,0.033117905,0.08150177,2
1ed55129a,0.22416773,0.25244698,0.06510738,0.45827788,4
4175a27e1,0.21368329,0.07989565,0.11015962,0.59626144,4
0aa767c04,0.041354485,0.06455367,0.168298,0.7257939,4
859b2a95b,0.13391732,0.28031883,0.16528933,0.42047447,4
6cbbe5cd9,0.1861399,0.33623865,0.14990951,0.32771197,2
f928a7e7f,0.017619733,0.032400273,0.04621532,0.9037648,4
28bafb2ee,0.1992847,0.27907646,0.50109833,0.020540532,3
7667378df,0.5523561,0.13038495,0.024695061,0.29256383,1
da7895cbd,0.11302496,0.46088096,0.1370433,0.28905073,2
e08649ba2,0.08359639,0.6824765,0.21319659,0.02073047,2
117a7da85,0.31498355,0.38372722,0.07836707,0.22292216,2
158a55025,0.174125,0.21523285,0.47606748,0.13457473,3
