PetID,pred_0,pred_1,pred_2,pred_3
d3b4f29f8,0.14290315,0.3720775,0.3039645,0.18105488
e9dc82251,0.23714717,0.3204289,0.23653671,0.20588724
8111f6d4a,0.21444798,0.24081218,0.17410417,0.37063566
693a90fda,0.18504527,0.30322078,0.17840609,0.3333279
9d08c85ef,0.17746244,0.29949275,0.22521995,0.29782486
45af03266,0.18529673,0.15176938,0.13479398,0.5281399
01a07b591,0.21067317,0.26382378,0.13997234,0.3855307
10e723583,0.20364518,0.38392037,0.3110427,0.10139175
324266c95,0.25885424,0.36769074,0.19335495,0.18010007
b6fbfa344,0.16967212,0.2566646,0.1050802,0.46858308
8df0bb3b3,0.10966537,0.2579905,0.47303638,0.15930773
a05e81f9f,0.19301052,0.22345716,0.1743855,0.40914682
311479c63,0.207685,0.23898394,0.17272738,0.38060367
11aa441fe,0.14449707,0.29143077,0.28998947,0.2740827
25fc96414,0.15651552,0.29396453,0.30646548,0.24305443
a6783a1c6,0.16530538,0.39055857,0.21525575,0.22888032
05aaee8ce,0.1783747,0.19094655,0.22236806,0.4083107
1d3dd0cb8,0.17438787,0.22360349,0.16249107,0.4395176
f20fa5c38,0.23825479,0.3338153,0.17731324,0.25061667
b8bc0c25c,0.18157814,0.2697364,0.14304264,0.4056428
8f45b9967,0.16390982,0.27050722,0.13876887,0.42681408
b7f7e01c6,0.17392333,0.21663356,0.12507349,0.48436964
f41a7de83,0.1220619,0.13975622,0.11624338,0.6219385
e7e2eca9e,0.15348601,0.28940162,0.1504001,0.40671226
f2f8667a2,0.29606405,0.29736373,0.18046919,0.22610302
54b687d7c,0.17204392,0.3313495,0.12115163,0.37545493
6438c6b3f,0.15225981,0.33358052,0.18015568,0.33400398
831505752,0.12669745,0.3138462,0.24319088,0.31626546
106128c56,0.13921559,0.1466156,0.10805726,0.6061115
c8f5f9120,0.14217485,0.24100323,0.17248487,0.44433704
671ffc570,0.17475943,0.20901327,0.21274546,0.40348184
279ca5034,0.14825378,0.2036593,0.20277487,0.44531205
f653550ac,0.118323535,0.16550311,0.16278706,0.5533863
9dae4e297,0.070902646,0.3008416,0.58056927,0.047686502
5925cf3fa,0.094825014,0.20736766,0.35767892,0.3401284
066498aa1,0.12140049,0.17350782,0.14095525,0.56413645
568a5ab51,0.17959605,0.32197142,0.2113234,0.28710914
a65853183,0.19747627,0.25115633,0.18195513,0.36941227
3da55a076,0.15103287,0.16216405,0.4376577,0.24914539
48f20f515,0.12024205,0.19239867,0.27626958,0.4110897
fe3d33ae1,0.15386762,0.14251328,0.09861982,0.6049993
850a43f90,0.23473407,0.36900064,0.18945162,0.20681365
113204c87,0.17788617,0.24015409,0.22646517,0.3554946
a8f43bea5,0.21967964,0.18413937,0.2540136,0.34216738
13296aae7,0.33949843,0.24313252,0.21440074,0.20296831
c59fe4bcd,0.0620671,0.18663588,0.41877475,0.33252227
abf1716a9,0.08329153,0.28405812,0.5312105,0.10143985
9718baba0,0.15295309,0.31804684,0.136304,0.39269608
39ba962ef,0.15751983,0.46710473,0.31377828,0.06159714
34edfc9d5,0.17204233,0.19695577,0.21899867,0.41200325
6220663ba,0.08267387,0.11689754,0.3686169,0.4318117
4501c8125,0.27248496,0.32488504,0.17928486,0.22334516
b138f5cc9,0.1448065,0.29888237,0.12630677,0.4300044
dbfb1869f,0.12249776,0.24845292,0.21727432,0.411775
dbcf45977,0.2678605,0.16785957,0.15502816,0.40925175
3b1391dda,0.20023938,0.15095046,0.2296118,0.41919836
006610fe3,0.16242602,0.28958085,0.3020284,0.24596474
1020c8f00,0.2698327,0.32000577,0.18721066,0.22295085
dc1d76def,0.19389552,0.17748094,0.26464194,0.3639816
6134ae21d,0.1980921,0.33543053,0.13173729,0.33474007
0f1424059,0.21846794,0.2703105,0.14165333,0.36956826
befafd8d3,0.18763512,0.2861027,0.2955686,0.23069356
482d05dc8,0.119747795,0.43415362,0.17525043,0.27084816
7b0d325d8,0.21629752,0.4139474,0.23268324,0.13707185
373f757c7,0.25856432,0.27533937,0.14863129,0.317465
e1c40a1eb,0.19604127,0.33707392,0.21814708,0.24873772
9f2dd031a,0.13301049,0.2251214,0.21496075,0.42690736
1c1bb3cd4,0.27185068,0.21097662,0.15792134,0.35925138
9a719040f,0.14322521,0.2655682,0.22252089,0.3686857
3af1dedf7,0.18506931,0.25143373,0.16077371,0.40272325
b7006ed96,0.12696786,0.38382837,0.26727572,0.22192805
9ebf6e448,0.21460368,0.26892573,0.13101313,0.38545746
21d8f0d2f,0.087496236,0.19536306,0.19074456,0.52639616
9e172ab13,0.1643634,0.25743222,0.15142103,0.42678335
261fc97ec,0.18411936,0.3388868,0.28806868,0.18892516
ef2ee6e9b,0.17949492,0.25079322,0.16768824,0.40202364
a9bfec3ba,0.14857218,0.26718965,0.26380852,0.32042965
3e463e29e,0.24069567,0.41324764,0.14116414,0.20489255
f5e35ea02,0.15353414,0.2027395,0.13765576,0.5060706
f4ab04385,0.26538044,0.24480239,0.15848586,0.3313313
49aaa4f94,0.23086886,0.36478353,0.23098886,0.17335874
898476994,0.16369234,0.24268316,0.15159011,0.4420344
b19556858,0.1485957,0.25386763,0.21225429,0.3852824
6d994c50c,0.17284195,0.20678057,0.14121574,0.47916174
6a3ff7445,0.120045334,0.2309805,0.2298068,0.41916737
5e6de643b,0.12387515,0.25830022,0.2822595,0.33556515
cf020a716,0.049174488,0.10713514,0.1185845,0.7251059
5c92de3f6,0.072615325,0.17630993,0.21400322,0.5370715
5297d9ba8,0.26434022,0.42485818,0.18159987,0.1292017
89a41673f,0.26405907,0.3372137,0.26598293,0.13274434
d965d6f3a,0.10459685,0.37892902,0.14464127,0.37183288
0db65104a,0.10882407,0.19685572,0.2847049,0.4096153
25c48e7ff,0.17516899,0.27377886,0.15900221,0.39204994
685cbaf7f,0.16285592,0.2410948,0.24139209,0.35465717
c93191313,0.16961937,0.21032353,0.16931055,0.45074657
1c411730a,0.19353989,0.22533885,0.20969717,0.3714241
ca7075738,0.055295415,0.32966098,0.27243283,0.34261078
b2676e6b1,0.057607137,0.19827414,0.35122076,0.39289796
301a245e6,0.21841359,0.3256993,0.19091247,0.26497465
94afcd90c,0.14177503,0.22190319,0.23422953,0.40209225
1ed55129a,0.21031769,0.16948225,0.09273854,0.5274615
4175a27e1,0.29771075,0.38894457,0.14296892,0.17037576
