PetID,AdoptionSpeed,fold
d3b4f29f8,2,3
e9dc82251,2,3
8111f6d4a,2,2
693a90fda,2,4
9d08c85ef,2,3
45af03266,4,2
01a07b591,1,3
10e723583,3,0
324266c95,2,2
b6fbfa344,2,1
8df0bb3b3,3,1
a05e81f9f,4,1
311479c63,1,3
11aa441fe,3,3
25fc96414,3,3
a6783a1c6,4,3
05aaee8ce,1,2
1d3dd0cb8,4,0
f20fa5c38,2,4
b8bc0c25c,4,2
8f45b9967,1,1
b7f7e01c6,3,3
f41a7de83,4,4
e7e2eca9e,4,4
f2f8667a2,2,2
54b687d7c,2,4
6438c6b3f,4,3
831505752,2,0
106128c56,3,1
c8f5f9120,1,1
671ffc570,3,4
279ca5034,3,1
f653550ac,4,0
9dae4e297,2,1
5925cf3fa,2,3
066498aa1,3,1
568a5ab51,4,3
a65853183,2,2
3da55a076,1,2
48f20f515,2,4
fe3d33ae1,2,0
850a43f90,2,0
113204c87,4,3
a8f43bea5,2,0
13296aae7,4,1
c59fe4bcd,2,1
abf1716a9,3,0
9718baba0,2,0
39ba962ef,2,2
34edfc9d5,4,1
6220663ba,4,2
4501c8125,1,1
b138f5cc9,3,4
dbfb1869f,4,3
dbcf45977,4,4
3b1391dda,4,0
006610fe3,4,2
1020c8f00,2,3
dc1d76def,1,2
6134ae21d,3,4
0f1424059,1,1
befafd8d3,4,1
482d05dc8,1,4
7b0d325d8,3,4
373f757c7,2,2
e1c40a1eb,4,3
9f2dd031a,4,2
1c1bb3cd4,4,1
9a719040f,2,4
3af1dedf7,4,4
b7006ed96,3,4
9ebf6e448,1,4
21d8f0d2f,4,2
9e172ab13,1,3
261fc97ec,1,4
ef2ee6e9b,4,3
a9bfec3ba,4,0
3e463e29e,2,0
f5e35ea02,4,2
f4ab04385,1,1
49aaa4f94,4,4
898476994,4,4
b19556858,2,4
6d994c50c,2,0
6a3ff7445,4,0
5e6de643b,2,0
cf020a716,4,2
5c92de3f6,3,2
5297d9ba8,2,4
89a41673f,1,3
d965d6f3a,4,3
0db65104a,2,4
25c48e7ff,4,3
685cbaf7f,1,0
c93191313,2,1
1c411730a,2,2
ca7075738,2,0
b2676e6b1,4,0
301a245e6,2,1
94afcd90c,3,4
1ed55129a,1,3
4175a27e1,4,0
0aa767c04,4,1
859b2a95b,3,3
6cbbe5cd9,4,2
f928a7e7f,4,1
28bafb2ee,2,2
7667378df,4,1
da7895cbd,2,0
e08649ba2,4,1
117a7da85,4,3
158a55025,3,2
018e4d193,4,2
b4fb9949b,1,2
f5cb16efb,4,2
199277f1a,4,0
9f9bfa4d9,4,3
8ecb9aab0,2,3
be5595abb,2,0
24dbfaf39,2,2
43021e4ed,2,3
7374edef0,2,4
2fcbb6376,4,1
a9c968c38,4,2
2d8db1c19,4,4
d03356a0e,4,4
9dfd5312c,3,3
96d7ed5de,4,0
3d011c364,4,4
74cd0ff66,3,4
24bbd04ce,1,4
1117a135d,4,4
69975d223,4,0
2ad6c7675,3,1
f2472c8dd,2,2
a22daaa5f,3,0
