iter	WKappa	MultiClass
0	0.3293233563	1.379481816
1	0.3989882443	1.372654343
2	0.4027006625	1.365934159
3	0.4040180179	1.359617779
4	0.4006940447	1.35405998
5	0.3945389081	1.348542695
6	0.4002146339	1.343075107
7	0.40129933	1.338080729
8	0.4049456663	1.33307024
9	0.4045583573	1.328709194
10	0.4057298354	1.324893853
11	0.4056338401	1.320353995
12	0.4065221651	1.316125148
13	0.4009224758	1.31217626
14	0.397012758	1.308534539
15	0.3998928997	1.305099582
16	0.3967604265	1.301391511
17	0.3993263466	1.298598463
18	0.3989442827	1.295494512
19	0.3976079518	1.292942366
20	0.3992313929	1.290219402
21	0.3979865376	1.287365047
22	0.402365661	1.284466059
23	0.4028802858	1.282095222
24	0.4033950587	1.279276162
25	0.4022235134	1.276839177
26	0.4000897951	1.274884565
27	0.4017225011	1.272924719
28	0.4023108934	1.271082788
29	0.4042539036	1.268763723
30	0.4068522051	1.266790929
31	0.4081224241	1.264794031
32	0.4050826431	1.262980767
33	0.4044930526	1.261076564
34	0.4053722287	1.259333739
35	0.402250461	1.257447448
36	0.4032788355	1.256025071
37	0.4041566672	1.254236013
38	0.4060953218	1.252569496
39	0.4067521782	1.251222733
40	0.4050303571	1.249386695
41	0.4068194315	1.248314723
42	0.4060930463	1.247006115
43	0.4054634476	1.245691672
44	0.4057741257	1.244133356
45	0.4090744711	1.24265656
46	0.4088045856	1.241217819
47	0.408498468	1.240034873
48	0.4104221343	1.238812583
49	0.4097809393	1.237859069
50	0.4111208113	1.236809728
51	0.4100983408	1.235725837
52	0.4105830858	1.234412501
53	0.4112121984	1.233105731
54	0.4122062901	1.232098587
55	0.4095332879	1.231036282
56	0.4096717882	1.230199959
57	0.4109185956	1.229251632
58	0.4112472674	1.228231793
59	0.410030226	1.227186843
60	0.4108253215	1.226371625
61	0.4126410938	1.225415148
62	0.413082057	1.224647036
63	0.4128962074	1.223999968
64	0.4134257166	1.223214527
65	0.414106836	1.222517733
66	0.4142705561	1.22182741
67	0.4148650119	1.221040175
68	0.4157844826	1.220413518
69	0.4149862128	1.219588023
70	0.4147559352	1.218889473
71	0.4160833364	1.2184962
72	0.4173775952	1.217739894
73	0.4160495464	1.216947517
74	0.415697644	1.216159916
75	0.4158155255	1.215740916
76	0.4166623547	1.214903009
77	0.4151273056	1.214348495
78	0.4163905946	1.213848753
79	0.415518195	1.213433926
80	0.4158218038	1.212622411
81	0.4153515947	1.211943849
82	0.4147352555	1.211462992
83	0.4155702777	1.21085517
84	0.415531439	1.21013344
85	0.4168130009	1.209496322
86	0.4180862074	1.209057622
87	0.418519212	1.208451138
88	0.4177516964	1.20786352
89	0.4163332369	1.207220975
90	0.4158547188	1.206523454
91	0.4167732186	1.206000058
92	0.4171651447	1.2055477
93	0.4182623832	1.205234909
94	0.4190327533	1.204871943
95	0.4190810365	1.204467687
96	0.417675211	1.203903069
97	0.4187251337	1.203331787
98	0.419041506	1.202962163
99	0.4175386903	1.202472879
100	0.4181870712	1.201919435
101	0.4186183108	1.201537649
102	0.4194461552	1.201123428
103	0.418631508	1.20070946
104	0.4194489937	1.200258134
105	0.4196438319	1.199745616
106	0.4199778123	1.199436174
107	0.4196767137	1.198974798
108	0.4199199918	1.198541924
109	0.422665172	1.197997283
110	0.4229338733	1.197327623
111	0.423663391	1.196818271
112	0.4235987484	1.196402676
113	0.4238654885	1.196018086
114	0.4239590683	1.195611588
115	0.424455868	1.195272249
116	0.4250402447	1.195020955
117	0.42259052	1.194698055
118	0.4242195508	1.194165183
119	0.4248154666	1.193854858
120	0.423657796	1.193426449
121	0.4247122583	1.192962338
122	0.4250886784	1.192731897
123	0.4239711444	1.192440877
124	0.4241663326	1.192083935
125	0.4249283269	1.191790474
126	0.4256141976	1.191340738
127	0.4257566003	1.190937718
128	0.4247968117	1.190738655
129	0.4254286827	1.190070556
130	0.4253020057	1.189675147
131	0.4278012542	1.189334186
132	0.4258619222	1.188992393
133	0.425955532	1.188480009
134	0.4279254864	1.187866905
135	0.4283912829	1.187504299
136	0.4285457722	1.187275449
137	0.4286239365	1.186843155
138	0.4285984948	1.186626693
139	0.4294101442	1.186368464
140	0.4293201355	1.185945419
141	0.4293350947	1.185661386
142	0.4301429838	1.185388438
143	0.4303514391	1.184974806
144	0.4309715007	1.184652267
145	0.4315627477	1.184371427
146	0.430747363	1.184007211
147	0.4311042192	1.183588357
148	0.4327730559	1.183217508
149	0.4320447644	1.182944026
150	0.4316753943	1.18256313
151	0.4320388262	1.182180289
152	0.4324726255	1.182037188
153	0.4308812103	1.181649231
154	0.4311247124	1.181488439
155	0.4312080106	1.181169023
156	0.4322458573	1.18091614
157	0.4325280888	1.180516465
158	0.432803384	1.180126436
159	0.4336120939	1.179753242
160	0.4330416936	1.179330217
161	0.4331014606	1.17914414
162	0.4334531743	1.178823655
163	0.4333094024	1.178538732
164	0.4332599846	1.178249803
165	0.4339025772	1.177825716
166	0.434458476	1.177413659
167	0.4352173964	1.176953509
168	0.4357900625	1.176660263
169	0.4353060839	1.176378872
170	0.4350805722	1.176234917
171	0.4351561047	1.175831429
172	0.4356006548	1.175601647
173	0.4342691983	1.17503024
174	0.4336297085	1.17464596
175	0.433468304	1.174226306
176	0.4336049309	1.173815247
177	0.4341143941	1.17355352
178	0.433579548	1.173341896
179	0.4325506562	1.172929968
180	0.4327346782	1.172607451
181	0.4325483202	1.172331893
182	0.4333518485	1.171869904
183	0.433369961	1.171620058
184	0.435130523	1.171166018
185	0.4351919908	1.170863496
186	0.4351423976	1.170639549
187	0.4354669323	1.170344385
188	0.4356665172	1.170149653
189	0.4355523384	1.169854192
190	0.4351930968	1.169576316
191	0.4346540235	1.169409103
192	0.4354157967	1.1691381
193	0.4367003195	1.168776187
194	0.4366961319	1.168428027
195	0.4361726737	1.168042394
196	0.4357741194	1.167883838
197	0.4362972195	1.167536147
198	0.4366135759	1.167302149
199	0.4370866968	1.167062571
200	0.4370724141	1.166934533
201	0.4359347646	1.166640894
202	0.4354918409	1.166433263
203	0.4348689251	1.166202281
204	0.4347462802	1.165951144
205	0.4358553787	1.16572552
206	0.4350696982	1.165500131
207	0.4366680775	1.165117315
208	0.4374063102	1.164836576
209	0.4376869386	1.164387478
210	0.4381308813	1.164048046
211	0.4379108629	1.163768751
212	0.4386316057	1.163460558
213	0.4383450173	1.163201957
214	0.4389454938	1.163024096
215	0.4383328743	1.162710096
216	0.4384675935	1.162528432
217	0.4369904333	1.162266008
218	0.4366032719	1.161985041
219	0.4373944993	1.16165867
220	0.4378045234	1.161512171
221	0.4378392979	1.161276622
222	0.4389750044	1.160843952
223	0.4392967208	1.160678559
224	0.4390950741	1.160466803
225	0.4380983393	1.160179884
226	0.4375455121	1.159863355
227	0.4381889636	1.159577391
228	0.4386052952	1.159251038
229	0.4388321831	1.158975264
230	0.4375643772	1.158674019
231	0.4375866962	1.158374298
232	0.4381694798	1.158108987
233	0.4370810302	1.157675221
234	0.4368619058	1.157484018
235	0.4371864466	1.157196617
236	0.4372357187	1.157070781
237	0.4376680916	1.156801046
238	0.4380032162	1.156644175
239	0.4387315525	1.156453596
240	0.4400765738	1.156117684
241	0.4403270914	1.155868089
242	0.4406078444	1.155692151
243	0.4418681026	1.155290534
244	0.441721649	1.154886785
245	0.4422882875	1.154660325
246	0.4422443712	1.154283759
247	0.4422857705	1.153846838
248	0.441103333	1.153615542
249	0.4409288934	1.15348321
250	0.4416322977	1.153290647
251	0.4412302136	1.152960716
252	0.4413988817	1.152767465
253	0.4413518298	1.152523509
254	0.4417918964	1.152270043
255	0.4412933932	1.15195441
256	0.4424137836	1.151765529
257	0.4426699154	1.151614441
258	0.4423712857	1.151372122
259	0.4432905967	1.151203273
260	0.4442815108	1.151019187
261	0.4438654525	1.15074871
262	0.4444701334	1.15047294
263	0.4434972835	1.150076345
264	0.4430467178	1.149949373
265	0.4436304359	1.149579029
266	0.4437410444	1.149280818
267	0.4447757605	1.149076806
268	0.4446036133	1.148751883
269	0.4440198994	1.148410874
270	0.4437494568	1.148180295
271	0.4442389085	1.147922254
272	0.4444988333	1.147623004
273	0.4440947399	1.147535071
274	0.4446663552	1.147236004
275	0.4448662735	1.147065088
276	0.4456467677	1.146787869
277	0.4448187014	1.146359874
278	0.4454623106	1.145962395
279	0.445149186	1.145700437
280	0.4456098772	1.145224486
281	0.4449136426	1.144916983
282	0.4449296446	1.144532134
283	0.4468209727	1.144188074
284	0.4459903728	1.143943907
285	0.446190991	1.14362069
286	0.4467203175	1.143454396
287	0.4461102627	1.143109967
288	0.4470983429	1.142791694
289	0.4461507749	1.142308147
290	0.4468263247	1.142071274
291	0.4469525602	1.141783263
292	0.4491123877	1.141442576
293	0.4477485593	1.141087795
294	0.4479806641	1.140669643
295	0.4487644991	1.140338954
296	0.4485450376	1.1402228
297	0.4494128234	1.139967678
298	0.4488083201	1.139751851
299	0.4489959845	1.139462905
300	0.4486046196	1.139206431
301	0.4492812611	1.138875905
302	0.4491837222	1.138535439
303	0.4493585615	1.138336069
304	0.4488986885	1.138118753
305	0.4486604782	1.137750304
306	0.4484243583	1.137451901
307	0.4487038618	1.137185229
308	0.4489524266	1.136876095
309	0.4490400085	1.136515208
310	0.4490533414	1.136153143
311	0.449769259	1.135814141
312	0.4505511463	1.135491017
313	0.4512072609	1.135225329
314	0.4505151214	1.134935709
315	0.4508004755	1.134602552
316	0.4497900149	1.134401463
317	0.4511973076	1.134122495
318	0.4512216628	1.133851198
319	0.4518918926	1.133395012
320	0.451031924	1.133099727
321	0.4514752613	1.132834319
322	0.4514973447	1.132660362
323	0.4518964153	1.13242753
324	0.451384061	1.132138462
325	0.4510497565	1.131915
326	0.451731762	1.131684889
327	0.451866928	1.131491767
328	0.452652583	1.131243863
329	0.4526393288	1.130980667
330	0.4528246436	1.130732226
331	0.4522367084	1.13039525
332	0.452923219	1.130168837
333	0.4535300773	1.12992236
334	0.4537333247	1.129701193
335	0.4538013055	1.129546538
336	0.4538558629	1.129245605
337	0.4540205754	1.129031943
338	0.4538698813	1.128840287
339	0.454269294	1.128559068
340	0.4552662527	1.128121133
341	0.4550057622	1.12786387
342	0.4551742114	1.127742772
343	0.4549419812	1.127318778
344	0.4549275061	1.127218275
