iter	Passed	Remaining
0	6	13368
1	11	11270
2	15	10537
3	20	10257
4	25	10201
5	29	9908
6	33	9633
7	38	9626
8	43	9703
9	47	9511
10	52	9555
11	57	9470
12	61	9342
13	66	9472
14	72	9529
15	76	9440
16	80	9374
17	85	9391
18	90	9384
19	93	9290
20	99	9363
21	105	9442
22	109	9408
23	114	9391
24	118	9395
25	124	9429
26	128	9370
27	133	9377
28	138	9397
29	143	9413
30	150	9527
31	154	9519
32	159	9485
33	163	9442
34	168	9476
35	173	9445
36	177	9416
37	183	9456
38	188	9463
39	193	9460
40	197	9425
41	202	9419
42	206	9410
43	211	9392
44	217	9460
45	221	9426
46	227	9469
47	233	9484
48	237	9462
49	241	9424
50	245	9394
51	250	9399
52	255	9380
53	260	9393
54	266	9432
55	271	9415
56	275	9391
57	281	9414
58	286	9414
59	290	9385
60	294	9371
61	299	9356
62	303	9331
63	309	9348
64	313	9347
65	318	9333
66	322	9305
67	328	9324
68	332	9310
69	336	9281
70	341	9277
71	346	9272
72	350	9258
73	355	9242
74	360	9250
75	365	9244
76	369	9238
77	375	9243
78	379	9238
79	384	9229
80	389	9224
81	394	9220
82	398	9214
83	403	9199
84	408	9208
85	413	9203
86	417	9177
87	422	9185
88	427	9186
89	432	9177
90	436	9165
91	441	9155
92	445	9143
93	450	9124
94	454	9119
95	460	9129
96	464	9111
97	468	9100
98	473	9101
99	480	9130
100	485	9136
101	490	9123
102	494	9107
103	498	9082
104	503	9091
105	509	9103
106	513	9090
107	517	9073
108	523	9078
109	527	9067
110	531	9048
111	536	9043
112	541	9036
113	545	9024
114	550	9027
115	556	9031
116	561	9033
117	565	9020
118	569	9008
119	574	8997
120	578	8987
121	583	8982
122	589	8995
123	593	8980
124	597	8964
125	602	8958
126	607	8952
127	611	8940
128	615	8931
129	621	8934
130	625	8922
131	629	8910
132	633	8895
133	638	8892
134	642	8882
135	647	8867
136	652	8867
137	656	8856
138	660	8842
139	665	8838
140	669	8830
141	674	8830
142	679	8825
143	685	8829
144	689	8819
145	693	8807
146	698	8801
147	702	8793
148	706	8775
149	710	8768
150	715	8755
151	720	8761
152	725	8752
153	728	8737
154	732	8723
155	737	8713
156	741	8700
157	746	8697
158	750	8687
159	754	8671
160	758	8666
161	763	8657
162	767	8652
163	772	8646
164	776	8639
165	782	8646
166	787	8641
167	792	8637
168	796	8625
169	801	8623
170	805	8619
171	810	8612
172	816	8620
173	820	8612
174	825	8608
175	830	8603
176	834	8595
177	838	8587
178	843	8579
179	848	8574
180	852	8565
181	856	8560
182	861	8553
183	865	8542
184	870	8538
185	875	8536
186	880	8536
187	885	8533
188	890	8530
189	895	8529
190	899	8518
191	904	8513
192	908	8507
193	913	8502
194	917	8492
195	921	8480
196	926	8476
197	931	8473
198	934	8460
199	939	8458
200	944	8454
201	949	8448
202	953	8442
203	958	8440
204	963	8434
205	967	8427
206	973	8429
207	978	8430
208	984	8433
209	989	8432
210	995	8439
211	999	8432
212	1003	8422
213	1007	8410
214	1011	8401
215	1016	8394
216	1020	8389
217	1034	8458
218	1039	8456
219	1044	8448
220	1048	8442
221	1053	8437
222	1058	8435
223	1063	8428
224	1067	8423
225	1072	8416
226	1076	8409
227	1081	8407
228	1086	8402
229	1091	8397
230	1095	8387
231	1100	8387
232	1104	8378
233	1108	8369
234	1113	8362
235	1118	8358
236	1123	8359
237	1127	8350
238	1132	8345
239	1136	8337
240	1141	8333
241	1146	8330
242	1151	8322
243	1155	8313
244	1159	8305
245	1163	8299
246	1169	8299
247	1174	8296
248	1180	8300
249	1184	8292
250	1188	8283
251	1193	8281
252	1198	8276
253	1203	8275
254	1208	8268
255	1213	8267
256	1218	8266
257	1223	8258
258	1228	8254
259	1232	8247
260	1236	8238
261	1240	8230
262	1245	8225
263	1250	8220
264	1254	8212
265	1259	8209
266	1263	8203
267	1267	8194
268	1272	8187
269	1277	8184
270	1282	8184
271	1287	8178
272	1292	8178
273	1297	8174
274	1301	8165
275	1306	8160
276	1310	8154
277	1315	8148
278	1319	8138
279	1323	8129
280	1328	8128
281	1333	8121
282	1337	8114
283	1342	8109
284	1346	8101
285	1351	8101
286	1355	8092
287	1360	8088
288	1364	8081
289	1368	8071
290	1374	8070
291	1379	8068
292	1383	8060
293	1388	8054
294	1393	8051
295	1397	8043
296	1401	8034
297	1405	8028
298	1410	8024
299	1415	8018
300	1419	8014
301	1424	8007
302	1428	8000
303	1433	7997
304	1437	7990
305	1443	7989
306	1447	7984
307	1452	7977
308	1457	7974
309	1462	7970
310	1466	7964
311	1471	7960
312	1476	7955
313	1480	7948
314	1484	7940
315	1490	7943
316	1495	7939
317	1499	7931
318	1503	7923
319	1508	7917
320	1512	7909
321	1516	7905
322	1521	7899
323	1525	7891
324	1529	7885
325	1534	7879
326	1539	7875
327	1543	7868
328	1548	7864
329	1552	7859
330	1557	7852
331	1561	7844
332	1565	7835
333	1570	7831
334	1574	7824
335	1578	7816
336	1582	7811
337	1588	7808
