PetID,cb_1,cb_2,cb_3,cb_4
d3b4f29f8,0.16071638,0.18800324,0.3344165,0.31686386
e9dc82251,0.37580281,0.31645632,0.2377346,0.07000623
8111f6d4a,0.13667862,0.19983418,0.37678826,0.28669897
693a90fda,0.28550342,0.29002652,0.23707274,0.18739735
9d08c85ef,0.3393515,0.27585927,0.21287416,0.17191508
45af03266,0.40292224,0.23487037,0.17082636,0.19138102
01a07b591,0.26077864,0.25126195,0.22813635,0.25982308
10e723583,0.2417974,0.2631356,0.26516518,0.2299018
324266c95,0.46820992,0.29960567,0.16343433,0.068750076
b6fbfa344,0.26665255,0.24368022,0.23665993,0.2530073
8df0bb3b3,0.25986746,0.28314605,0.26665524,0.19033122
a05e81f9f,0.23056018,0.22305669,0.23996316,0.30641997
311479c63,0.48940012,0.23550001,0.11724004,0.15785983
11aa441fe,0.067027785,0.13202605,0.61423635,0.18670982
25fc96414,0.076768026,0.18758124,0.55866045,0.17699027
a6783a1c6,0.21331896,0.25855115,0.24830434,0.27982557
05aaee8ce,0.52033883,0.24323662,0.11947436,0.116950214
1d3dd0cb8,0.238203,0.23692228,0.23953483,0.2853399
f20fa5c38,0.24375406,0.2795528,0.28378785,0.19290529
b8bc0c25c,0.17964907,0.27481234,0.3799458,0.16559279
8f45b9967,0.3460681,0.25967103,0.21161129,0.18264958
b7f7e01c6,0.1596844,0.30302882,0.24588376,0.29140303
f41a7de83,0.17184272,0.1882158,0.20897934,0.43096215
e7e2eca9e,0.19950265,0.20849273,0.2304893,0.36151534
f2f8667a2,0.22331016,0.2655106,0.26905257,0.24212667
54b687d7c,0.2169981,0.23347479,0.2953407,0.25418642
6438c6b3f,0.09552234,0.12293107,0.14349744,0.6380492
831505752,0.26241407,0.2612172,0.24628298,0.23008573
106128c56,0.18936193,0.19696696,0.24109863,0.37257248
c8f5f9120,0.3389262,0.26645643,0.22200051,0.17261687
671ffc570,0.21386778,0.22316453,0.30681372,0.25615397
279ca5034,0.19364959,0.20139936,0.22434458,0.38060647
f653550ac,0.22358477,0.2275236,0.2362434,0.31264824
9dae4e297,0.22015463,0.29576498,0.3075626,0.17651778
5925cf3fa,0.24934402,0.2363759,0.28270718,0.23157288
066498aa1,0.23221004,0.25185505,0.250821,0.2651139
568a5ab51,0.17699307,0.1646623,0.20259355,0.4557511
a65853183,0.3905265,0.250582,0.18516387,0.17372762
3da55a076,0.20007297,0.21222736,0.19246584,0.39523384
48f20f515,0.2126683,0.25468498,0.3209569,0.21168983
fe3d33ae1,0.27819052,0.25698483,0.23950331,0.22532134
850a43f90,0.24001849,0.2638782,0.26841003,0.2276933
113204c87,0.022943357,0.059991803,0.085581176,0.83148366
a8f43bea5,0.26877654,0.2536422,0.24599421,0.23158704
13296aae7,0.24515687,0.23161064,0.24116594,0.28206655
c59fe4bcd,0.22765449,0.28451008,0.3009005,0.18693495
abf1716a9,0.24053048,0.2622928,0.26740894,0.22976778
9718baba0,0.24395393,0.2589961,0.2609711,0.23607887
39ba962ef,0.12819766,0.2311328,0.50773805,0.13293147
34edfc9d5,0.19636519,0.21839848,0.282252,0.3029843
6220663ba,0.20050825,0.26436782,0.33634397,0.19877996
4501c8125,0.3258129,0.26919702,0.22385539,0.1811347
b138f5cc9,0.17514893,0.1914103,0.21568209,0.41775867
dbfb1869f,0.1769348,0.14907137,0.18595925,0.48803458
dbcf45977,0.21508104,0.20876783,0.23587047,0.34028068
3b1391dda,0.23883213,0.23674983,0.24025944,0.2841586
006610fe3,0.05882523,0.076651104,0.24282329,0.6217004
1020c8f00,0.32867655,0.29616153,0.22554299,0.14961894
dc1d76def,0.5696384,0.20930842,0.16371661,0.057336602
6134ae21d,0.21479058,0.2102715,0.24066968,0.33426824
0f1424059,0.25121817,0.2395905,0.2332624,0.27592894
befafd8d3,0.19063453,0.2296355,0.30435014,0.27537984
482d05dc8,0.23616683,0.27345487,0.30021906,0.19015923
7b0d325d8,0.20693132,0.20111953,0.22381131,0.36813784
373f757c7,0.3203703,0.2747531,0.3173148,0.087561816
e1c40a1eb,0.28326005,0.2582417,0.21436572,0.2441325
9f2dd031a,0.116482176,0.1332106,0.32291892,0.4273883
1c1bb3cd4,0.2204035,0.23119454,0.23127206,0.31712988
9a719040f,0.19737153,0.19847193,0.21328738,0.39086914
3af1dedf7,0.20243001,0.21931545,0.30155158,0.27670294
b7006ed96,0.24970606,0.259494,0.28545016,0.20534976
9ebf6e448,0.31044197,0.25454557,0.22390021,0.21111222
21d8f0d2f,0.032121096,0.08424506,0.19056699,0.69306684
9e172ab13,0.27799323,0.39396715,0.24820055,0.07983909
261fc97ec,0.3071464,0.26754376,0.22432901,0.20098083
ef2ee6e9b,0.13739417,0.13512972,0.2133701,0.514106
a9bfec3ba,0.24601659,0.24425134,0.25511903,0.25461304
3e463e29e,0.2621064,0.26435927,0.24786343,0.22567093
f5e35ea02,0.055531345,0.08849074,0.1714632,0.6845147
f4ab04385,0.3330128,0.26680374,0.2205586,0.17962487
49aaa4f94,0.2571807,0.2591459,0.258007,0.22566642
898476994,0.17723127,0.18970197,0.20980279,0.42326397
b19556858,0.21531565,0.23085475,0.30624688,0.24758272
6d994c50c,0.25103018,0.26517293,0.25346875,0.23032816
6a3ff7445,0.23835035,0.24347074,0.25175178,0.26642713
5e6de643b,0.24260996,0.26207784,0.2631129,0.2321993
cf020a716,0.041564323,0.10207578,0.15419787,0.702162
5c92de3f6,0.18673128,0.2687988,0.30045906,0.24401088
5297d9ba8,0.29348573,0.2739947,0.23070538,0.20181416
89a41673f,0.58940434,0.29749525,0.07165263,0.0414478
d965d6f3a,0.16308647,0.13896486,0.24749118,0.45045748
0db65104a,0.25677723,0.28833956,0.2503037,0.20457953
25c48e7ff,0.15534136,0.28106898,0.25971028,0.3038794
685cbaf7f,0.24933739,0.26518375,0.25277662,0.23270223
c93191313,0.2679204,0.29023573,0.26055434,0.18128952
1c411730a,0.3225868,0.30533296,0.20732898,0.16475125
ca7075738,0.24092366,0.24714626,0.25938687,0.2525432
b2676e6b1,0.23808621,0.24843031,0.25480014,0.25868332
301a245e6,0.27501428,0.2728212,0.25054654,0.20161802
94afcd90c,0.24269196,0.2883803,0.27292594,0.19600178
1ed55129a,0.42575324,0.2970922,0.17366192,0.10349267
4175a27e1,0.23273592,0.2372001,0.24815623,0.28190774
0aa767c04,0.17373462,0.19018807,0.22950594,0.4065714
859b2a95b,0.30543175,0.2172564,0.23155956,0.2457523
6cbbe5cd9,0.10437896,0.16212432,0.30762443,0.4258723
f928a7e7f,0.17254099,0.1878325,0.21348563,0.42614087
28bafb2ee,0.45404682,0.25695422,0.22006594,0.06893303
7667378df,0.23023754,0.23130685,0.21702231,0.32143328
da7895cbd,0.24446788,0.2561281,0.25624883,0.2431552
e08649ba2,0.21432588,0.24099611,0.29331475,0.25136325
117a7da85,0.23562187,0.2124571,0.18238127,0.36953977
158a55025,0.084711604,0.24760216,0.5222391,0.14544716
018e4d193,0.07114186,0.13055864,0.26840714,0.5298923
b4fb9949b,0.3669016,0.2880328,0.22683069,0.11823491
f5cb16efb,0.0735535,0.13175094,0.20767531,0.5870203
199277f1a,0.24609561,0.24101998,0.24810255,0.26478186
9f9bfa4d9,0.11855261,0.14158006,0.22778343,0.5120839
8ecb9aab0,0.4207993,0.33146,0.20243762,0.045303106
be5595abb,0.24312168,0.26536185,0.26340553,0.22811094
24dbfaf39,0.20256737,0.30864856,0.30781642,0.18096766
43021e4ed,0.06841564,0.11734633,0.16859096,0.64564705
7374edef0,0.23139061,0.24323165,0.29610234,0.22927538
2fcbb6376,0.2521273,0.22274025,0.23288861,0.29224384
a9c968c38,0.2242435,0.2968279,0.28805056,0.19087802
2d8db1c19,0.18208236,0.191723,0.21040279,0.41579184
d03356a0e,0.26588473,0.22227511,0.23450616,0.27733403
9dfd5312c,0.042815857,0.0871861,0.13109373,0.7389043
96d7ed5de,0.23774092,0.23555273,0.23833959,0.28836676
3d011c364,0.17983402,0.19763714,0.22308396,0.39944488
74cd0ff66,0.2331632,0.24600448,0.28518137,0.23565096
24bbd04ce,0.27088234,0.24953005,0.25216037,0.22742726
1117a135d,0.17870323,0.190328,0.21269919,0.41826957
69975d223,0.2360897,0.23354438,0.2379516,0.2924143
2ad6c7675,0.26925522,0.2772577,0.25965366,0.19383341
f2472c8dd,0.20932283,0.20730998,0.18541099,0.3979562
a22daaa5f,0.2603361,0.25731623,0.24942178,0.23292588
1246bed4f,0.02262956,0.041384794,0.068302326,0.8676833
f680cd37a,0.089874625,0.13882335,0.27536312,0.49593893
6185f59bf,0.13879102,0.13780773,0.32276297,0.40063828
128b247b8,0.34066176,0.3351673,0.2257676,0.098403364
3161fe0f4,0.3895334,0.35680774,0.19543584,0.058223028
0133b2a29,0.32638496,0.24539165,0.22100638,0.20721701
8b636912d,0.27650544,0.28827634,0.24392103,0.19129717
b833f9624,0.030246422,0.06491542,0.17247334,0.73236483
34090e9d6,0.07523484,0.12442398,0.19182579,0.6085154
c7eac7b01,0.28924084,0.2524672,0.23445842,0.22383358
e6335f2ee,0.20688564,0.21598126,0.26309624,0.31403685
7e250a5f1,0.3786124,0.33895668,0.20291136,0.07951956
480f33a74,0.28202188,0.2598544,0.23557486,0.22254887
454aa9e20,0.40274337,0.28112012,0.1838372,0.13229932
157e3e074,0.28641194,0.28759953,0.24781458,0.17817394
dbaacc7e8,0.21801911,0.21299592,0.23224784,0.33673713
251bace70,0.24418323,0.25141704,0.25573218,0.24866755
c0b3f2081,0.13574734,0.30343845,0.3524571,0.2083571
0af685a60,0.28721887,0.23294109,0.23354866,0.2462914
01f4746ef,0.2707199,0.28337732,0.25137076,0.19453205
bb9a64e6f,0.2752097,0.2933618,0.25358224,0.17784624
8d0f353e2,0.17925586,0.35367128,0.35700828,0.110064566
f247a5242,0.026724469,0.053535495,0.13081215,0.7889279
49d4a0adf,0.16758782,0.18507482,0.20873405,0.4386033
7e3c6f81d,0.09327536,0.15849599,0.23102199,0.51720667
9c680abbe,0.3042706,0.2776343,0.23125742,0.18683769
67c9d22df,0.4681015,0.25427368,0.15399836,0.123626456
0090eb457,0.24653739,0.248762,0.25920385,0.24549673
0b6064845,0.22742206,0.23131448,0.23863022,0.30263326
1f6fe20fc,0.24927825,0.26475626,0.25758952,0.22837597
2cde24ccc,0.07942353,0.20288335,0.3742313,0.34346178
c222a4955,0.2182776,0.23945393,0.27222028,0.2700482
65470d9c0,0.28946096,0.3843238,0.28413394,0.04208131
c00b7ba5d,0.24873404,0.2761806,0.25873342,0.21635196
683f1dfd8,0.18160036,0.19243401,0.22766896,0.39829668
8813e5e4d,0.07747267,0.13215417,0.1895226,0.6008506
10e26690b,0.23614122,0.38260603,0.28052008,0.100732684
b6f1e40a5,0.10740864,0.15167466,0.28509066,0.45582604
7b052d37d,0.576526,0.228012,0.13877311,0.056688886
5dc7d3dc7,0.17721584,0.32951042,0.31203228,0.18124145
c7c99d389,0.32838595,0.31241807,0.21152507,0.14767094
d2f216860,0.17599456,0.21326649,0.20815061,0.40258834
d605cb217,0.24247196,0.24060905,0.24792123,0.26899776
9d4e91ab0,0.17207572,0.18746641,0.212023,0.42843485
9942bce62,0.2546446,0.22554551,0.34257072,0.17723916
e0667be3b,0.27727845,0.24749568,0.2431983,0.23202756
c0ca6dd73,0.30053696,0.3093983,0.20817311,0.1818916
4fcd7cfe0,0.1466178,0.4147603,0.34617847,0.09244343
9625d0998,0.38996974,0.21475977,0.21615975,0.17911077
8773f250c,0.25914824,0.27514708,0.27349985,0.19220482
b2876d101,0.2330461,0.23917237,0.25064895,0.27713257
8988d22a5,0.17077726,0.18853146,0.21093586,0.42975542
cbf20c4b0,0.031918157,0.06720141,0.17037208,0.7305083
89e43a001,0.26498163,0.26441833,0.24504249,0.22555754
085c9be4a,0.16522309,0.27500892,0.317324,0.24244396
e50570999,0.26200202,0.26444703,0.24668701,0.22686392
8a464e436,0.28507462,0.2641411,0.24830775,0.2024765
da8d56dff,0.20465764,0.2133374,0.22758682,0.35441813
e08e93f16,0.32135382,0.2736804,0.22313349,0.18183228
db23b96cb,0.19190465,0.20807229,0.22182603,0.37819704
bb78d1aa5,0.21890283,0.2298486,0.2913099,0.2599387
29aa0b74b,0.09577233,0.21547353,0.47614622,0.21260792
7395053bc,0.21356945,0.22487843,0.2595462,0.30200592
7413a61ae,0.21709484,0.2121468,0.23752125,0.3332371
9abb10f2f,0.31669956,0.27578452,0.22346015,0.18405576
58e2cf3d9,0.3002238,0.32002687,0.24337873,0.13637063
a0cc9df12,0.3438919,0.27558064,0.24867164,0.13185585
ba4f42314,0.23750208,0.23439647,0.2371635,0.29093793
f829fad2b,0.27215603,0.21566725,0.22318229,0.28899443
df0a5e6c5,0.2054859,0.21093549,0.24690835,0.33667028
3c30c4a49,0.25194213,0.21529908,0.23188433,0.30087444
5181f9924,0.24501546,0.2549545,0.25346774,0.24656233
97c13bdf2,0.25374788,0.21950972,0.2326098,0.2941326
fa1badbb7,0.46579245,0.22456111,0.22853142,0.08111502
d29d34cfe,0.30978185,0.2740932,0.24016601,0.17595895
abc69ab7f,0.15197536,0.16103157,0.22592399,0.46106908
4fc9dee58,0.3316242,0.30587825,0.24557774,0.116919786
6668ff629,0.2497188,0.2581509,0.25303927,0.23909104
a4ade8bb2,0.2797432,0.27798617,0.2468814,0.19538927
f9d566df8,0.13369599,0.31132144,0.33112848,0.2238541
8b85a3893,0.24234024,0.24008968,0.24166691,0.27590317
7e3d0e3f0,0.23852053,0.250162,0.2646443,0.24667318
9f4a72311,0.07812605,0.32743287,0.509483,0.084958114
f15a31a01,0.22907515,0.22040343,0.23928502,0.3112364
c1f738966,0.23768587,0.24764986,0.24486221,0.26980203
66064ba80,0.23123756,0.262304,0.28570527,0.22075316
392cb224a,0.24951892,0.3257348,0.28215787,0.14258845
f205876aa,0.26227516,0.25391555,0.24009623,0.24371307
3740bcc5d,0.17538616,0.2819285,0.35297307,0.18971224
ba392c802,0.09281265,0.13794647,0.19966619,0.5695747
6b685abae,0.24743743,0.25439155,0.25927874,0.23889227
8b8489a24,0.2635804,0.32181656,0.27117026,0.14343277
6c5b48801,0.31910554,0.27395886,0.22193101,0.18500456
28dc83755,0.31757206,0.27857095,0.22173534,0.18212165
45fd43894,0.21192005,0.22554302,0.27906734,0.2834696
160dcaec8,0.3954076,0.29620993,0.17959073,0.12879175
0c200f7a6,0.07910195,0.099024154,0.17024693,0.65162694
3d9784a88,0.2146163,0.26950982,0.25005722,0.26581663
eff316e87,0.20190102,0.20651077,0.2332667,0.35832152
5ffd4e822,0.088286504,0.2128282,0.5433984,0.15548694
83703d7e0,0.24211082,0.24876127,0.25413406,0.25499383
84c1afe03,0.080178574,0.11722591,0.22780533,0.5747902
b912b1114,0.11345182,0.54289687,0.28096092,0.06269043
14e52bdaf,0.039209705,0.10796963,0.14339238,0.7094283
9cf32e2a6,0.06273557,0.08591307,0.14132333,0.71002805
1377d2c0e,0.30799007,0.29091552,0.22121733,0.17987707
b859b9fa0,0.23479812,0.24487613,0.28104427,0.23928149
843738a2a,0.18593086,0.20120907,0.23304081,0.37981927
c8d2ed523,0.25589254,0.26634324,0.19165562,0.2861086
6d5afdb0f,0.17834298,0.19093023,0.20842601,0.4223008
2d06250ab,0.20972052,0.22249517,0.28460246,0.28318185
823d5bd7e,0.42994478,0.33388868,0.1451123,0.09105423
fed799a78,0.18097442,0.19680846,0.23475431,0.38746282
4a56df934,0.3701168,0.3210658,0.21700269,0.09181469
85094deda,0.1754308,0.22366779,0.3174533,0.28344813
4a0d03a9f,0.23462573,0.2324068,0.25384113,0.27912635
f506d3fd2,0.24739105,0.2536053,0.24955507,0.24944858
bc4e5abfd,0.31551808,0.27966917,0.22878945,0.1760233
e7b3f752a,0.15058006,0.17691776,0.19301271,0.47948945
c20aa0352,0.21390991,0.21016365,0.24598801,0.32993844
655eaa578,0.5180316,0.30533558,0.13372277,0.042910066
21178f3b0,0.24500087,0.260983,0.2589103,0.23510584
d18d572dd,0.26687038,0.25894642,0.24370094,0.23048227
002278114,0.45777035,0.34950083,0.14169604,0.05103279
62f87187d,0.50320446,0.19373448,0.14666495,0.15639609
930dcdef6,0.2335302,0.34806177,0.30603942,0.11236863
2f346ac72,0.19697426,0.21370615,0.25649476,0.33282483
88bc9864c,0.055842582,0.1048543,0.1552816,0.68402153
ae64cc2e7,0.16498984,0.18242224,0.20562807,0.44695985
cfc3e65de,0.2787893,0.26007393,0.23806958,0.22306718
69d95bc54,0.22991589,0.2474143,0.2826485,0.24002132
aef2fa931,0.16241549,0.17241624,0.20487428,0.46029398
0cf709a59,0.22219744,0.21284191,0.2356998,0.32926086
375a0eb3c,0.12519632,0.16986464,0.24716456,0.4577745
1d79d37b3,0.27004576,0.25899285,0.23695812,0.23400326
e15b26ed8,0.17619592,0.24502085,0.35271636,0.22606687
bddd63050,0.27360824,0.25376397,0.25589153,0.21673627
5bb4cc5d3,0.28445044,0.25934803,0.24016568,0.21603583
b96d69dc8,0.06453781,0.10596017,0.16840434,0.6610977
e28bad751,0.1778554,0.2289771,0.32363874,0.26952875
b188b50cd,0.2026196,0.23265763,0.298711,0.26601177
f8619af42,0.11637512,0.12570553,0.22455151,0.5333679
4d20f6163,0.22604267,0.23081484,0.24050407,0.3026384
1fe561ed9,0.27555925,0.2969582,0.27201283,0.15546973
798ff640c,0.24145515,0.24545811,0.26172403,0.2513627
938bcb826,0.29400235,0.29199314,0.2317178,0.18228672
85587ad13,0.2631033,0.25572634,0.26384142,0.21732892
f5dc70d35,0.2276784,0.23248376,0.2398427,0.29999515
b2f21fe63,0.31767473,0.24851964,0.22437865,0.209427
091a5da01,0.083572246,0.115625806,0.19930658,0.6014954
7d2fe6bb6,0.31422254,0.27222943,0.22248393,0.1910641
bd2f5699b,0.2350736,0.3655193,0.26513353,0.1342736
3ad53090d,0.23804714,0.2524897,0.25389463,0.25556856
207d61997,0.24135798,0.23360951,0.24923886,0.27579367
924373704,0.28651854,0.27826166,0.24833123,0.18688855
e0d18f038,0.2355175,0.24184605,0.25749624,0.2651402
1b1a68a60,0.37747365,0.36609203,0.18994367,0.06649065
a80687cf1,0.48299193,0.23862718,0.12790222,0.15047868
8660ad37b,0.20201176,0.22435395,0.3021216,0.2715127
23b3f793e,0.21555413,0.23517232,0.27083945,0.2784341
a3d4585c2,0.2193341,0.2460298,0.28857833,0.24605778
bf2f87f17,0.19459146,0.19934909,0.21496852,0.39109093
d19f035bc,0.0807469,0.1712898,0.2949555,0.45300782
2a6bb49f5,0.0603575,0.11858111,0.16987854,0.65118283
4574e3de4,0.2623487,0.32766515,0.27626893,0.13371721
cccd16111,0.22753207,0.23681828,0.27696273,0.2586869
18553e89b,0.40005785,0.35768226,0.18449976,0.05776014
2256216b1,0.2566628,0.23069681,0.23403394,0.27860644
53037f091,0.20392364,0.22024928,0.30943727,0.2663898
10836809d,0.18265265,0.2913782,0.37573916,0.15023
a906ff5f5,0.17184272,0.1882158,0.20897934,0.43096215
331c0bbf3,0.21546246,0.20929782,0.22442713,0.35081258
03f0fc32f,0.074562274,0.09091941,0.19854283,0.6359755
49f3710f9,0.06165133,0.1098559,0.17152627,0.6569665
f6c3b531d,0.5648079,0.23745775,0.13275217,0.06498216
e8e461026,0.28377745,0.2867571,0.24624683,0.18321863
a39ad6dc7,0.41605288,0.2510627,0.24883927,0.08404517
b09fa9385,0.19950786,0.25270125,0.32871917,0.21907172
8cb067b2f,0.077857465,0.16426733,0.61117435,0.14670089
d52f229d1,0.2478986,0.26376757,0.25836006,0.22997378
849ce39d4,0.26204014,0.24250627,0.23317903,0.26227453
541400630,0.21024314,0.22530451,0.29484808,0.26960424
919820452,0.24211082,0.24876127,0.25413406,0.25499383
302eb3771,0.32390407,0.27911904,0.2199205,0.17705637
c9cab5e67,0.3515508,0.2606774,0.21698387,0.17078795
d8e7caaff,0.1682609,0.13962585,0.21843477,0.4736785
66faa15c8,0.21985964,0.226502,0.24257594,0.3110624
7cfb6fe9c,0.2667102,0.25976205,0.2450631,0.22846465
01928bd13,0.36682183,0.24687846,0.20383361,0.1824661
4f66fa0c3,0.23400138,0.24009567,0.25030097,0.27560198
b5295b0e2,0.38682932,0.3960324,0.16410561,0.05303269
92f84c5b7,0.26265195,0.28135866,0.263177,0.19281238
58e24d608,0.2675744,0.26804933,0.26922417,0.19515212
ec40d007f,0.2434329,0.23700434,0.2681237,0.25143906
225f72952,0.23466635,0.27570418,0.27839476,0.2112347
2259cf6f8,0.3185857,0.27560475,0.26538813,0.1404214
fab063ed4,0.49035478,0.32898602,0.12579566,0.054863535
48317c9e5,0.2484034,0.26029962,0.25132203,0.23997495
846ca7805,0.12596458,0.17207529,0.21048768,0.49147245
c3106dcd5,0.34325328,0.29512373,0.22650298,0.13511999
eb64e3d68,0.51373595,0.31695545,0.123477936,0.045830663
d899c9ef7,0.18670322,0.1631689,0.19099845,0.45912942
bce0e17b9,0.37521774,0.24352187,0.21343815,0.16782223
fc3fbbb99,0.106616415,0.11543856,0.14357662,0.6343684
0adebbf21,0.06545848,0.08449472,0.21165334,0.63839346
8cce291a9,0.25373012,0.23660788,0.2526008,0.25706124
ff4d9a3c6,0.28257915,0.24171798,0.23788486,0.237818
0497c5ed8,0.24048445,0.18958504,0.22776751,0.342163
105c28771,0.08856942,0.12330578,0.2024907,0.5856341
5afa2e561,0.039480787,0.08178117,0.13288899,0.7458491
d5c4ef4c0,0.24785183,0.29278544,0.26504108,0.19432166
50fc25dbe,0.23852202,0.27979746,0.28945184,0.19222867
f7999c9bf,0.4240294,0.25323394,0.21600024,0.1067364
7a3471df7,0.17901963,0.16269216,0.25558996,0.40269825
e129ff4a1,0.24734566,0.25944299,0.2547237,0.23848765
b00e4262e,0.35544342,0.3963471,0.19602299,0.052186515
4f45bb293,0.2182209,0.29851282,0.29644448,0.18682179
776354931,0.08671871,0.12534286,0.25102308,0.53691536
aa2a3d9c7,0.24977635,0.24853079,0.2378804,0.26381248
e1d86f0b6,0.18484674,0.2192604,0.29355037,0.30234247
ebcdfedd2,0.18659624,0.19827618,0.22862746,0.38650012
a554dbeca,0.31975764,0.22995281,0.20559242,0.24469712
4f7bfcb68,0.24623787,0.25095502,0.25397086,0.24883626
cdd815db9,0.17184272,0.1882158,0.20897934,0.43096215
3f5f5782f,0.23532575,0.23795737,0.24766652,0.27905035
b549fd8be,0.23584087,0.23238647,0.2367657,0.29500696
47dda9537,0.16350792,0.24435845,0.2761907,0.3159429
f895c20f3,0.25988126,0.28119665,0.2546385,0.20428357
a963a6979,0.033670954,0.0710087,0.17726433,0.718056
70112a1b9,0.27382427,0.22995542,0.23268159,0.26353872
363e8df66,0.22348225,0.26475796,0.2769599,0.23479989
f0137d4e3,0.19739267,0.2059944,0.25961626,0.33699667
ddd7cc601,0.26066896,0.25376517,0.24954614,0.23601973
04f8947f3,0.2965221,0.27087718,0.282308,0.1502927
16eefbec7,0.1828715,0.19818094,0.22903648,0.3899111
e54ee8e55,0.5381445,0.27511248,0.12890053,0.057842445
001b1507c,0.3615113,0.24261034,0.21826686,0.17761151
42dd3f3ff,0.30034804,0.25988698,0.235226,0.20453897
a6e7b6870,0.23808621,0.24843031,0.25480014,0.25868332
6fc1c066e,0.2166867,0.23509902,0.2803635,0.26785076
eea30b615,0.2488363,0.2604031,0.2507107,0.24004991
88666f74e,0.24315865,0.34352055,0.28557643,0.12774435
09e39377f,0.24162112,0.25372452,0.26493043,0.23972392
69a1b02f6,0.30493835,0.26907626,0.23932606,0.18665934
00f3a3993,0.25677112,0.33329564,0.30109125,0.108841985
111748c15,0.22069483,0.22725248,0.29300967,0.259043
faec94482,0.25104657,0.28653598,0.27520114,0.18721628
a89005005,0.24045375,0.25977042,0.25785235,0.24192351
90bc90da2,0.26501152,0.26103187,0.24254245,0.23141415
c42cf01ba,0.21999925,0.3451861,0.27777338,0.15704124
10bbe5ea4,0.18072829,0.2250195,0.2678324,0.32641983
6d7e560d9,0.16688247,0.15739942,0.20940983,0.4663083
9572f7e6b,0.25593096,0.24279559,0.23940724,0.26186618
7959e3491,0.20680287,0.40406713,0.31138653,0.077743456
58805776d,0.24172623,0.23905572,0.24671534,0.2725027
9fdb3a2a2,0.2409092,0.15640855,0.19589531,0.40678695
1c7d56a42,0.23067968,0.23123673,0.23800571,0.3000779
5027f31e5,0.13055049,0.20234987,0.2906075,0.37649214
8ced67d36,0.274334,0.29886863,0.19666813,0.23012923
cf9bc2dc8,0.24653739,0.248762,0.25920385,0.24549673
a79983c71,0.076201305,0.20511915,0.58656824,0.1321113
15f89f939,0.49181432,0.32405934,0.14217563,0.04195072
61f95d269,0.3763273,0.1960608,0.17310265,0.25450924
1bb0600a7,0.2421342,0.25262156,0.25448087,0.2507634
8019d0c63,0.23113933,0.23519792,0.24777356,0.28588918
40d7cb083,0.34484613,0.26608613,0.2168731,0.17219464
188f8b07e,0.37683877,0.30985293,0.18044528,0.13286303
ec7ebdb47,0.22846887,0.24627136,0.2592878,0.265972
da8cfd914,0.27740505,0.28113696,0.24737607,0.19408193
2398599fc,0.18612795,0.17892706,0.25672895,0.37821606
63a1fb887,0.3014454,0.2681236,0.1872388,0.24319223
81da09ea9,0.30560917,0.28230023,0.22871597,0.18337461
360dcecb1,0.2681721,0.26051572,0.24150027,0.22981192
2027f2dfd,0.25474903,0.25459588,0.24693762,0.24371748
ea4fe7ae2,0.06961924,0.109334916,0.25178233,0.5692635
b3543dda3,0.28393266,0.262582,0.23940998,0.21407537
9e2a19b16,0.05511369,0.10318239,0.15410045,0.6876035
0a14ac037,0.25098866,0.28704718,0.26350278,0.19846138
f4cf82def,0.49273115,0.30380443,0.14466402,0.058800425
4ad400ba0,0.22003824,0.2222446,0.25473437,0.3029828
752b2d9c5,0.2503244,0.25736424,0.24824966,0.24406171
73b5c37dd,0.24835718,0.24943995,0.2524527,0.24975017
cd81fa60a,0.2053298,0.2792734,0.32397082,0.19142596
